TAXONOMIC_CODE,ALPHA_3_CODE,SCIENTIFIC_NAME,NAME.EN,NAME.FR,NAME.ES,EBXID,AUTHOR
1020100101,LAU,Petromyzon marinus,Sea lamprey,Lamproie marine,Lamprea marina,14293,Linnaeus 1758
1020100201,LAR,Lampetra fluviatilis,River lamprey,Lamproie de rivière,Lamprea de río,2002,(Linnaeus 1758)
10201XXXXX,LAS,Petromyzontidae,Lampreys nei,Lamproies nca,Lampreas nep,2000,
1030300301,MYG,Myxine glutinosa,Hagfish,Myxine,Pez moco,13620,Linnaeus 1758
1030300603,MWC,Eptatretus cirrhatus,Broadgilled hagfish,,,19221,(Forster 1801)
10303XXXXX,MYX,Myxinidae,Hagfishes nei,Mixynes nca,Mixinos nep,16073,
1050200201,SBL,Hexanchus griseus,Bluntnose sixgill shark,Requin griset,Cañabota gris,2003,(Bonnaterre 1788)
1050200301,HXT,Heptranchias perlo,Sharpnose sevengill shark,Requin perlon,Cañabota bocadulce,12637,(Bonnaterre 1788)
1050200502,NTC,Notorynchus cepedianus,Broadnose sevengill shark,Platnez,Cañabota gata,2004,(Péron 1807)
1060100301,BSK,Cetorhinus maximus,Basking shark,Pèlerin,Peregrino,2005,(Gunnerus 1765)
1060200501,CCT,Carcharias taurus,Sand tiger shark,Requin taureau,Toro bacota,2006,Rafinesque 1810
1060200601,LOO,Odontaspis ferox,Smalltooth sand tiger,Requin féroce,Solrayo,13862,(Risso 1810)
1060403601,PSK,Pseudocarcharias kamoharai,Crocodile shark,Requin crocodile,Tiburón cocodrilo,14647,(Matsubara 1936)
1060600601,ALV,Alopias vulpinus,Thresher,Renard,Zorro,2008,(Bonnaterre 1788)
1060600602,PTH,Alopias pelagicus,Pelagic thresher,Renard pélagique,Zorro pelágico,2009,Nakamura 1935
1060600603,BTH,Alopias superciliosus,Bigeye thresher,Renard à gros yeux,Zorro ojón,2795,(Lowe 1841)
10606006XX,THR,Alopias spp,Thresher sharks nei,Renards de mer nca,Zorros nep,2007,
1060800201,SMA,Isurus oxyrinchus,Shortfin mako,Taupe bleue,Marrajo dientuso,2011,Rafinesque 1810
1060800203,LMA,Isurus paucus,Longfin mako,Petite taupe,Marrajo carite,2797,Guitart Manday 1966
10608002XX,MAK,Isurus spp,Mako sharks,Taupes,Marrajos,2010,
1060800301,POR,Lamna nasus,Porbeagle,Requin-taupe commun,Marrajo sardinero,2798,(Bonnaterre 1788)
1060800701,WSH,Carcharodon carcharias,Great white shark,Grand requin blanc,Jaquetón blanco,2799,(Linnaeus 1758)
10608XXXXX,MSK,Lamnidae,"Mackerel sharks,porbeagles nei",Requins taupe nca,"Jaquetones,marrajos nep",2796,
1070300901,GNC,Ginglymostoma cirratum,Nurse shark,Requin-nourrice,Gata nodriza,2013,(Bonnaterre 1788)
1080100104,SHO,Galeus melastomus,Blackmouth catshark,Chien espagnol,Pintarroja bocanegra,2803,Rafinesque 1810
1080100106,GAM,Galeus murinus,Mouse catshark,Chien islandais,Pintarroja islándica,12273,(Collett 1904)
10801001XX,GAU,Galeus spp,Crest-tail catsharks nei,Chiens galeus nca,Pintarrojas nep,2015,
1080100301,SYC,Scyliorhinus canicula,Small-spotted catshark,Petite roussette,Pintarroja,2016,(Linnaeus 1758)
1080100302,SYT,Scyliorhinus stellaris,Nursehound,Grande roussette,Alitán,2805,(Linnaeus 1758)
10801003XX,SCL,Scyliorhinus spp,"Catsharks, nursehounds nei",Roussettes nca,"Alitanes, pintarrojas nep",2804,
1080103004,HAN,Halaelurus canescens,Dusky catshark,Holbiche sombre,Pejegato oscuro,12517,(Günther 1878)
1080103402,CPS,Cephaloscyllium isabellum,Draughtsboard shark,Holbiche damier,Pejegato ajedrezado,11216,(Bonnaterre 1788)
10801XXXXX,SYX,Scyliorhinidae,"Catsharks, etc. nei","Chiens,holbiches,rousset. nca","Alitanes,pejegatos,pintar. nep",2802,
1080200401,BSH,Prionace glauca,Blue shark,Peau bleue,Tiburón azul,2018,(Linnaeus 1758)
1080201001,CCP,Carcharhinus plumbeus,Sandbar shark,Requin gris,Tiburón trozo,2807,(Nardo 1827)
1080201003,CCL,Carcharhinus limbatus,Blacktip shark,Requin bordé,Tiburón macuira,2808,(Müller & Henle 1839)
