Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2001,III,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,,1,carvings,,T,O
2001,III,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,,1,leather products (small),,P,O
2002,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,1,,bones,,T,W
2002,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,1,,skulls,,T,W
2002,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,300,,teeth,,T,W
2002,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,TW,,5,,bones,,T,W
2002,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,ZA,,13,,bones,kg,S,W
2003,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CN,AU,ID,6,,derivatives,kg,T,O
2003,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,CN,,,1,carvings,,E,O
2003,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,BE,ZA,,1,,teeth,,,W
2003,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,AU,,1,,teeth,,P,I
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,AU,GB,XX,,2,carvings,,Q,O
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,8,,carvings,,T,O
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,,7,carvings,,T,U
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,SG,NZ,,21,,fins,,T,W
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,CN,XX,1,,skin pieces,,E,O
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,,2,carvings,,T,U
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,1,,leather products (large),,P,O
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,1,,skin pieces,,Q,O
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,,2,skin pieces,,T,U
2004,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,1,,skin pieces,,T,W
2004,II,Rhincodon typus,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,US,MY,,6,,soup,,T,I
2004,III,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,US,GB,XX,,1,skin pieces,,Q,U
2004,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,IT,MX,,644,leather products (small),,T,O
2004,III,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,US,TW,,12519,,bones,,T,W
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,,1,carvings,,T,O
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,11,,leather products (small),,T,O
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CH,GB,XX,,10,skins,,T,O
2005,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,CN,US,XX,,2,skin pieces,,E,U
