Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Afghanistan,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1.83,E
Afghanistan,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4373,,3259.46,
Albania,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,291,,124,,200,,0,...,690,,610,,790,,1159,,1930,,1157,E,550,E,959,E,700,E,898,E,1399,,1153,,1780,,2044,,1503,,1760,,1914,E,2523,,2651,,395,,342,,251,,289,,3073,,3518,,3024,,3922,,4959,,5789,,6774,,7169,,8146,,9911,,9698.7,
Albania,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,400,,425,,240,,160,,140,,157,,82,,81,E,140,E,708,E,1774,,1732,,3418,,5267,,4413,,5222,,6530,,7013,,7585,,7698,,7919,,7946,,8486,,9113,,8001,,8652,,7397,,8082,,9289,,12086,,11695,,12465,,13313,,10414.17,
Albania,Marine fishes,Reexports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2291,,3823,,2428,,2294,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Algeria,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,1375,,1889,,345,,260,,206,,217,,5,,60,,78,,92,,81,,100,,89,,59,,134,,268,,513,,203,,138,,203,,246,,215,,115,,105,,137,,136,,845,,220,,85,,153,,333,,408,,910,,767,,450,,109,,229,,265,,257,,243,,525,,1193,,766,E,1299.59,E
Algeria,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,5868,,11253,,10167,,10975,,13188,,16856,,20219,,28502,,45909,,34212,,31021,,37197,,44216,,15680,,6862,E,3339,,2235,,3953,,8194,,11177,,3093,,5197,,5259,,6926,,7208,,6996,,10089,,20927,,22031,,19462,,22307,,19523,,16687,,26251,,28119,,27082,,20963,,20890,,33561,,36600,,33943,,35640,,32331,E,33514.55,E
Andorra,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,7,,0,...,0,...,0,...,0,N,0,...,0,...,0,N,0,N,5,E,0,...,0,...,0,N,2,,0,...,2,,1,,0,...,0,...,5,E,1,E,0,...,2,E,0,...
Andorra,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2093,,1661,,1738,,1765,,1790,,1668,,1819,,1875,,1834,,1974,,2036,E,1976,,1961,,1637,,1496,,1506,,1537,,1416,,1458,,1475,,1405,E,1559,E,1563,,1571,,1393.13,E
Angola,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2808,E,1660,E,673,E,466,E,387,,2063,E,1098,,2399,E,1025,E,3020,E,4235,E,3767,E,3296,E,9723,E,7672,E,5640,E,5831,E,5584,E,5126,E,3262,E,1118,E,1649,E,6476,E,1717,E,1823,E,1611,E,5252,E,17714,,66390,,41210,,46553,,40598.53,E
