Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Albania,"Sharks, rays, chimaeras",Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,0,N,6,,1,,0,...,2,,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,N,0,...,0,...,0,...,0,...,0,...,1.61,
Albania,"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,,1,,0,N,6,,13,,0,...,0,...,0,...,0,N,1,,0,N,0,...,9,,0,...,0,...,0,...,2,,1,,0,...,0.04,
Algeria,"Sharks, rays, chimaeras",Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,5,,0,...,20,E
Algeria,"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,13,,72,,248,,328,,171,,143,,150,,66,,314,,430,,235,,122,,149,,246,,136,,103,,130,,91,,171,,266,,151,,106,,364,E,98.16,E
Andorra,"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,0,...,0,N,0,N,0,...,0,...,0,...,0,...,0,...,0,...,1,,1,,8,,2,,2,,1,E,0,...,1,,2,,0,...
Angola,"Sharks, rays, chimaeras",Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5,E,5,E,41,E,54,E,55,E,121,E,209,E,75,E,8,E,5,E,4,E,6,E,3,E,2,E,4,E,7,E,19,E,15,E,6,E,7,E,5,E,31,,37,,70,E,57.04,E
Angola,"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,E,0,...,0,...,0,...,0,...,1,,1,,2,,6,,2,,7,,2,,1,,1,,1,,1.06,E
Antigua and Barbuda,"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,0,...,0,...,1,E,0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,...,0,N,0,...,2,,1,,0.8,
Argentina,"Sharks, rays, chimaeras",Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,968,,718,,1124,,1378,,972,,1220,,582,,203,,179,,309,,436,,345,,583,,664,,742,,746,,11624,,13358,,8516,,9606,,10144,,10187,,182,,12187,,15070,,10915,,9751,,3288,,1838.75,
Argentina,"Sharks, rays, chimaeras",Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6,,0,...,16,,0,...,3,,0,...,0,...,0,...,2,,2,,26,,0,...,0,...,0,...,0,...,8.66,
